"UID","ECONOMIC_ACTIVITY","JOB_DEP","Work_desc","Terms_of_emp","Job_category","JOB_CONDITION","Employer_category","WORKING_HOURS","employee_count","EMOLUMENT"
127,"CA","01","683a","APP","A","C","ct_6",1834,"tr_1",5570
128,"CA","69","463c","CDI","O","C","ct_9",1819,"tr_4",58027
131,"GZ","01","551a","CDI","O","P","ct_9",935,"tr_3",9258
134,"QB","71","434e","CDI","O","C","ct_8",1820,"tr_3",17846
135,"CG","01","673a","CDI","O","C","ct_9",2028,"tr_1",17376
140,"FZ","01","671c","APP","A","C","ct_9",171,"tr_1",465
141,"CL","01","626b","CDI","O","C","ct_9",1820,"tr_6",18031
145,"RZ","69","424a","CDI","O","K","ct_8",1735,"tr_0",11721
147,"NZ","01","543g","CDI","O","C","ct_8",1820,"tr_2",15871
148,"KZ","01","543b","CDI","O","C","ct_9",2042,"tr_1",20209
149,"HZ","01","641b","CDI","O","F","ct_5",549,"tr_4",8566
150,"GZ","01","634a","CDI","O","C","ct_6",2156,"tr_1",19495
152,"SZ","75","424a","CDI","O","C","ct_8",832,"tr_1",25266
155,"PZ","01","421b","CDI","O","P","ct_8",607,"tr_2",8735
157,"GZ","01","462d","CDI","O","C","ct_9",1832,"tr_6",30334
159,"NZ","01","684a","CDI","O","C","ct_8",2028,"tr_1",19579
160,"NZ","69","534a","CDI","O","C","ct_9",1838,"tr_6",18348
164,"CB","01","386c","CDI","O","C","ct_9",1826,"tr_4",39148
165,"NZ","69","373d","CDI","O","C","ct_9",1820,"tr_5",31685
167,"CL","01","628c","CDI","O","C","ct_9",1951,"tr_6",22734
169,"HZ","69","546c","CDI","O","C","ct_9",1623,"tr_3",20240
170,"NZ","01","526b","CDI","O","P","ct_9",1269,"tr_1",12584
172,"GZ","01","551a","CDI","O","P","ct_9",1303,"tr_5",10412
173,"PZ","01","422e","CDI","O","P","ct_8",1016,"tr_3",8839
176,"QB","01","434d","CDI","O","P","ct_8",910,"tr_4",12120
177,"PZ","01","423b","CDI","O","C","ct_8",1820,"tr_3",24336
181,"MA","01","542a","CDI","O","C","ct_9",1820,"tr_2",17350
185,"SZ","75","424a","CDI","O","C","ct_8",832,"tr_1",24696
189,"QA","01","525d","CDI","O","C","ct_9",1822,"tr_4",14190
190,"GZ","01","433d","CDI","O","P","ct_9",1348,"tr_1",14307
192,"KZ","69","467b","CDI","O","C","ct_9",1950,"tr_5",40288
197,"QA","01","433d","CDI","O","P","ct_3",1456,"tr_6",16354
201,"OZ","01","563b","AUT","O","C","ct_2",1800,"tr_4",17068
203,"CA","01","636c","CDI","O","C","ct_9",1778,"tr_1",17268
204,"QB","01","434a","CDI","O","P","ct_8",492,"tr_3",10221
207,"GZ","01","691e","CDI","O","C","ct_9",1870,"tr_1",19368
209,"TZ","01","563c","CDI","O","C","ct_7",174,"tr_0",6432
212,"QB","01","434e","CDI","O","C","ct_8",1607,"tr_3",16255
216,"CK","01","384b","CDI","O","C","ct_9",2200,"tr_2",40888
219,"HZ","01","462c","CDI","O","C","ct_9",1598,"tr_4",21181
221,"CG","01","475b","CDI","O","P","ct_9",1664,"tr_5",17223
223,"QA","74","526a","CDI","O","C","ct_9",1820,"tr_6",17167
229,"NZ","69","541d","CDI","O","C","ct_9",1715,"tr_6",13735
234,"GZ","69","477c","CDI","O","C","ct_9",1820,"tr_3",26262
235,"IZ","01","561d","CDI","O","P","ct_6",1365,"tr_1",10488
237,"FZ","69","681b","CDI","O","C","ct_9",1855,"tr_1",29306
238,"IZ","01","561b","CDI","O","C","ct_9",2184,"tr_2",33014
241,"DZ","01","625h","CDI","O","C","ct_9",1904,"tr_1",27272
242,"QA","01","525d","CDI","O","C","ct_9",1597,"tr_6",15450
246,"IZ","01","561f","CDI","O","C","ct_9",448,"tr_2",4276
250,"MA","01","434d","CDI","O","C","ct_9",1790,"tr_4",20501
251,"EZ","01","684b","CDI","O","C","ct_9",1829,"tr_4",12825
253,"FZ","01","481b","CDI","O","C","ct_9",1983,"tr_5",27204
255,"RZ","01","424a","AUT","O","C","ct_6",1829,"tr_1",14787
256,"PZ","01","341a","CDI","O","P","ct_8",173,"tr_1",11869
258,"MA","01","374d","CDI","O","C","ct_6",1924,"tr_1",48490
264,"CK","69","385a","CDI","O","C","ct_9",1882,"tr_6",22285
267,"LZ","01","684a","AUT","X","C","ct_5",910,"tr_6",12714
268,"GZ","01","551a","CDI","O","C","ct_9",533,"tr_5",3959
269,"FZ","01","681a","CDI","O","C","ct_9",1689,"tr_1",13546
271,"IZ","01","561d","CDI","O","P","ct_6",213,"tr_4",2433
272,"PZ","01","422b","CDI","O","C","ct_8",1820,"tr_3",15901
273,"NZ","57","386b","TTP","O","C","ct_9",1490,"tr_2",23808
275,"GZ","01","554a","AUT","O","C","ct_9",2028,"tr_2",21108
276,"QA","01","525d","AUT","O","C","ct_3",1820,"tr_5",20208
279,"GZ","01","634c","CDI","O","C","ct_9",1388,"tr_1",12886
283,"RZ","01","435b","AUT","X","F","ct_8",573,"tr_1",8091
287,"CH","01","628c","CDI","O","P","ct_9",859,"tr_3",16280
290,"GZ","01","684a","CDI","O","P","ct_9",1497,"tr_2",13078
291,"KZ","71","467c","CDI","O","C","ct_8",1819,"tr_5",39162
303,"GZ","01","554e","CDI","O","C","ct_9",434,"tr_1",5001
304,"QA","69","431f","CDI","O","P","ct_9",756,"tr_5",8377
310,"JC","69","388c","CDI","O","C","ct_9",1904,"tr_4",23382
312,"GZ","69","634c","CDI","O","C","ct_9",550,"tr_1",10390
316,"CG","01","674a","CDI","O","P","ct_9",814,"tr_4",7677
317,"CK","69","553c","CDI","O","C","ct_9",1582,"tr_2",20692
318,"PZ","01","421b","CDI","O","C","ct_8",1517,"tr_1",18057
322,"GZ","71","554b","CDI","O","C","ct_9",1820,"tr_4",19038
324,"QB","01","526a","CDI","O","C","ct_8",1820,"tr_5",16992
329,"QB","69","526c","CDI","O","C","ct_6",1820,"tr_1",15121
331,"GZ","69","374a","CDI","O","C","ct_9",2028,"tr_4",50511
336,"QA","01","526a","CDI","O","C","ct_8",1453,"tr_4",15795
337,"RZ","01","435b","CDI","O","C","ct_9",1602,"tr_1",14618
338,"CK","01","628c","CDI","O","C","ct_9",2053,"tr_1",21083
339,"FZ","69","463b","CDI","O","C","ct_9",1586,"tr_1",21733
343,"FZ","78","372b","CDI","O","C","ct_9",2200,"tr_3",54372
344,"NZ","74","462e","CDI","O","C","ct_6",1076,"tr_1",20926
345,"PZ","01","421b","CDI","O","C","ct_8",2201,"tr_2",26027
348,"PZ","01","422e","CDI","O","C","ct_1",1881,"tr_4",25237
349,"QB","01","563a","CDI","O","D","ct_7",800,"tr_1",3067
351,"QA","01","525d","CDI","O","P","ct_9",960,"tr_4",8538
352,"NZ","01","534a","CDI","O","C","ct_6",831,"tr_2",7024
353,"GZ","01","676a","CDI","O","C","ct_9",1916,"tr_1",15323
354,"GZ","01","554d","CDD","O","C","ct_9",151,"tr_1",1165
358,"QB","01","526d","CDI","O","C","ct_8",1820,"tr_4",21239
359,"GZ","94","388a","CDI","O","C","ct_9",2200,"tr_6",49896
360,"GZ","01","433d","CDI","O","C","ct_9",1824,"tr_2",15356
363,"NZ","69","543g","CDI","O","C","ct_9",1820,"tr_3",21357
366,"QA","01","684a","CDI","O","C","ct_9",1820,"tr_4",16305
371,"FZ","01","632c","CDI","O","C","ct_9",1835,"tr_1",23084
372,"KZ","01","467a","CDI","O","C","ct_9",1819,"tr_6",19733
377,"NZ","75","472c","CDI","O","C","ct_6",2200,"tr_1",48465
378,"CB","10","463b","CDI","O","C","ct_9",1820,"tr_4",31793
380,"OZ","01","424a","CDD","O","C","ct_2",338,"tr_4",3103
381,"FZ","01","681a","APP","A","C","ct_9",1717,"tr_2",13772
382,"GZ","69","462b","CDI","O","C","ct_9",1887,"tr_5",24666
385,"KZ","01","467a","CDI","O","C","ct_9",1820,"tr_1",32226
387,"HZ","01","524c","CDI","O","C","ct_2",1737,"tr_3",25598
392,"CG","01","475b","CDI","O","C","ct_9",1913,"tr_3",23660
393,"NZ","01","684a","CDI","O","C","ct_9",2546,"tr_1",23019
397,"CM","01","485b","CDI","O","C","ct_9",2029,"tr_3",29583
399,"CH","01","673a","CDI","O","C","ct_9",1929,"tr_2",27269
402,"GZ","69","543h","CDI","O","C","ct_9",1922,"tr_2",17778
404,"QB","01","563a","CDI","O","D","ct_7",3000,"tr_1",10697
405,"CM","01","487a","CDI","O","P","ct_9",317,"tr_4",3661
409,"HZ","69","451a","CDI","O","C","ct_9",1819,"tr_6",23403
410,"PZ","01","421b","CDI","O","C","ct_8",2201,"tr_2",29323
411,"GZ","69","542a","CDI","O","C","ct_9",1715,"tr_4",20269
417,"CI","60","622a","CDI","O","C","ct_9",2107,"tr_6",23413
424,"MA","02","461d","CDI","O","C","ct_8",1820,"tr_1",18691
425,"HZ","02","641a","CDI","O","C","ct_9",2383,"tr_3",23622
432,"NZ","02","461b","CDI","O","F","ct_6",375,"tr_1",5231
435,"GZ","02","561d","APP","A","C","ct_9",1820,"tr_1",11867
437,"JC","72","423b","CDI","O","C","ct_9",1766,"tr_5",23276
439,"CK","02","543b","CDI","O","C","ct_9",1820,"tr_3",32465
449,"QA","02","542a","CDI","O","P","ct_9",740,"tr_3",8839
453,"HZ","02","628a","AUT","O","C","ct_5",1820,"tr_6",20811
454,"GZ","02","543f","CDI","O","C","ct_9",1811,"tr_5",25232
458,"QB","02","525d","AUT","X","P","ct_8",1592,"tr_5",9512
459,"KZ","02","467a","CDI","O","C","ct_9",1740,"tr_2",27115
460,"CG","02","674d","CDI","O","C","ct_9",1964,"tr_6",24123
464,"MA","02","342g","CDI","O","P","ct_9",1071,"tr_3",28216
473,"SZ","02","435b","CDI","O","C","ct_8",1819,"tr_2",14976
475,"FZ","02","632d","CDI","O","C","ct_9",1809,"tr_2",40839
482,"GZ","02","683a","APP","A","C","ct_9",1829,"tr_2",5743
484,"GZ","02","461d","CDI","O","C","ct_9",1820,"tr_4",18868
486,"PZ","02","525b","CDI","O","P","ct_8",1318,"tr_3",11126
492,"QB","02","525d","CDI","O","F","ct_9",401,"tr_4",3304
494,"MA","02","372b","CDI","O","C","ct_9",2173,"tr_1",43738
496,"KZ","02","526b","CDI","O","C","ct_9",1820,"tr_1",16681
498,"GZ","02","433d","CDI","O","P","ct_9",1157,"tr_1",10962
502,"MA","02","652a","CDI","O","C","ct_9",1866,"tr_3",21363
504,"CF","51","461b","CDI","O","P","ct_9",1323,"tr_6",26257
509,"SZ","51","543h","CDI","O","C","ct_8",1971,"tr_2",21402
510,"FZ","02","633a","CDI","O","C","ct_9",1667,"tr_3",17999
511,"QB","02","434a","CDI","O","C","ct_8",1832,"tr_3",39428
514,"CB","02","676a","CDI","O","C","ct_9",1829,"tr_3",15117
515,"GZ","02","374a","CDI","O","C","ct_9",1474,"tr_1",32136
519,"KZ","80","467a","CDI","O","C","ct_9",2100,"tr_1",44579
520,"QA","02","431f","CDI","O","C","ct_9",1892,"tr_6",19122
521,"CB","02","675a","CDI","O","C","ct_9",1802,"tr_5",15047
522,"OZ","02","523c","CDI","O","P","ct_2",1040,"tr_1",9907
524,"CH","02","676e","CDI","O","C","ct_9",1820,"tr_2",15093
525,"GZ","77","643a","CDI","O","C","ct_9",2020,"tr_5",22899
526,"QA","02","525d","CDI","O","C","ct_3",1819,"tr_6",18944
527,"GZ","08","628b","CDI","O","C","ct_9",1820,"tr_2",33587
528,"GZ","02","676c","CDD","O","C","ct_9",1897,"tr_3",16269
531,"HZ","80","521a","CDI","O","C","ct_9",1818,"tr_6",21548
532,"QB","02","526d","CDI","O","C","ct_8",1517,"tr_4",15282
534,"PZ","93","372d","CDI","O","C","ct_8",1480,"tr_4",29917
537,"QB","02","563a","CDI","O","D","ct_7",3000,"tr_0",10433
538,"FZ","02","621c","CDI","O","C","ct_9",1517,"tr_3",23573
539,"SZ","02","562b","CDI","O","C","ct_9",1150,"tr_0",12633
540,"HZ","02","641b","CDI","O","C","ct_9",1820,"tr_3",18170
541,"GZ","02","461c","CDI","O","C","ct_9",1820,"tr_4",22638
546,"CG","02","675b","CDD","O","C","ct_6",699,"tr_1",9457
547,"NZ","60","684a","CDI","O","C","ct_9",1598,"tr_6",13777
552,"HZ","02","652a","CDI","O","C","ct_9",1813,"tr_6",18083
557,"MA","03","684b","CDI","O","C","ct_9",2089,"tr_1",18998
558,"CB","03","627c","CDI","O","C","ct_9",1852,"tr_6",26058
561,"NZ","03","681a","TTP","O","C","ct_9",1015,"tr_1",12191
563,"IZ","03","561d","CDI","O","P","ct_9",879,"tr_1",10917
564,"CM","03","474c","CDI","O","C","ct_9",1820,"tr_3",19142
566,"IZ","03","561d","CDI","O","C","ct_9",1511,"tr_2",12272
569,"CG","58","475b","CDI","O","C","ct_9",1767,"tr_3",27731
572,"GZ","03","478c","CDI","O","C","ct_6",1930,"tr_1",13847
574,"NZ","75","373b","CDI","O","C","ct_9",2083,"tr_6",57540
575,"SZ","03","477b","CDI","O","C","ct_9",1717,"tr_4",25780
576,"QB","03","525d","CDI","O","C","ct_8",1850,"tr_3",20094
581,"FZ","03","472c","CDI","O","C","ct_9",828,"tr_1",16261
582,"CG","03","652a","CDI","O","C","ct_9",1820,"tr_6",18709
584,"QB","03","632k","CDI","O","C","ct_8",1820,"tr_2",15890
588,"CI","03","473c","CDI","O","P","ct_9",932,"tr_6",9928
591,"QB","03","526d","CDI","O","F","ct_8",485,"tr_4",4409
595,"RZ","03","424a","CDD","O","C","ct_9",1485,"tr_3",26217
597,"GZ","03","388a","CDI","O","C","ct_9",2028,"tr_4",25958
598,"KZ","03","376c","CDI","O","C","ct_9",1820,"tr_2",35485
601,"CL","03","387d","CDI","O","C","ct_9",2145,"tr_6",43405
605,"TZ","63","563a","CDI","O","C","ct_7",468,"tr_0",3568
611,"GZ","78","463b","CDI","O","C","ct_9",1645,"tr_2",16689
617,"NZ","63","534a","CDI","O","C","ct_9",1866,"tr_5",16987
632,"PZ","03","422c","CDI","O","C","ct_8",1831,"tr_4",20939
634,"QB","03","526d","CDI","O","C","ct_8",758,"tr_3",16253
636,"MC","03","526b","CDI","O","P","ct_9",1617,"tr_1",19995
637,"CG","03","477a","CDD","O","C","ct_9",1790,"tr_6",22161
644,"FZ","63","632a","CDI","O","C","ct_9",1696,"tr_1",16796
646,"SZ","03","676a","CDI","O","C","ct_9",1820,"tr_5",14487
647,"GZ","63","461b","CDI","O","C","ct_9",1875,"tr_3",18059
658,"CG","63","628d","CDI","O","C","ct_9",1840,"tr_6",27260
668,"RZ","03","424a","CDI","O","C","ct_8",2135,"tr_1",17851
670,"PZ","03","423a","CDI","O","C","ct_9",1922,"tr_1",15614
671,"GZ","03","634c","CDI","O","C","ct_9",2027,"tr_1",21745
672,"OZ","03","532c","AUT","O","C","ct_1",1519,"tr_5",17541
678,"BZ","03","621g","CDI","O","C","ct_9",1962,"tr_3",18228
681,"NZ","03","684a","CDD","O","P","ct_9",221,"tr_5",1520
685,"OZ","03","545d","CDI","O","P","ct_8",1664,"tr_4",21162
687,"GZ","27","463d","CDI","O","C","ct_9",1162,"tr_1",13439
688,"FZ","03","542a","CDI","O","P","ct_9",1024,"tr_1",11581
690,"QA","03","431f","CDI","O","P","ct_9",617,"tr_5",6232
696,"CM","63","543h","CDI","O","P","ct_6",338,"tr_1",7701
704,"GZ","03","479b","CDI","O","C","ct_9",1820,"tr_5",42177
706,"PZ","03","684a","CDI","O","P","ct_8",1369,"tr_2",13156
708,"GZ","03","462e","CDI","O","C","ct_9",1808,"tr_4",23219
709,"GZ","03","551a","CDD","O","P","ct_9",1289,"tr_3",15001
710,"KZ","03","467c","CDI","O","P","ct_8",1664,"tr_5",28098
715,"OZ","03","373b","CDI","O","C","ct_8",1848,"tr_4",45134
716,"NZ","03","563c","TOA","O","P","ct_8",1587,"tr_4",13612
720,"FZ","03","671c","CDI","O","C","ct_9",1645,"tr_3",16330
723,"CG","63","479b","AUT","X","C","ct_9",1264,"tr_6",11676
725,"QB","03","431f","CDI","O","C","ct_8",1820,"tr_3",21354
726,"GZ","63","462d","CDI","O","C","ct_9",1436,"tr_1",19365
734,"QA","03","543h","CDI","O","C","ct_9",1804,"tr_5",23390
736,"QB","03","526a","CDI","O","C","ct_9",1673,"tr_4",14223
737,"HZ","03","655a","CDI","O","C","ct_9",1922,"tr_2",20443
740,"QB","03","525d","CDI","O","P","ct_9",1654,"tr_3",14799
745,"KZ","03","545c","CDI","O","C","ct_9",2147,"tr_4",30888
748,"QA","63","526a","CDI","O","C","ct_8",1456,"tr_5",13111
754,"QB","03","431f","CDI","O","C","ct_8",1820,"tr_3",24049
755,"GZ","03","373d","CDI","O","C","ct_9",1820,"tr_2",24690
756,"FZ","63","543h","CDI","O","C","ct_9",1519,"tr_0",12260
764,"QB","03","676e","AUT","O","P","ct_8",1463,"tr_4",8446
767,"CL","03","674d","CDI","O","C","ct_9",1806,"tr_3",16575
770,"LZ","17","472c","CDI","O","C","ct_9",1841,"tr_4",22765
771,"QB","03","461b","CDI","O","C","ct_8",1869,"tr_2",22585
773,"OZ","03","621f","AUT","O","C","ct_2",1829,"tr_5",16377
774,"MA","92","387a","CDI","O","C","ct_9",1720,"tr_6",42368
777,"GZ","03","433d","CDI","O","C","ct_6",1820,"tr_1",20562
781,"PZ","03","435b","AUT","X","P","ct_8",587,"tr_1",6437
784,"GZ","03","554e","CDI","O","P","ct_9",1683,"tr_2",14336
786,"CA","71","674b","CDI","O","C","ct_9",2028,"tr_1",18346
787,"IZ","03","561d","CDI","O","P","ct_9",1427,"tr_3",10790
790,"QB","04","525d","CDI","O","P","ct_8",1516,"tr_2",12741
792,"MC","46","487b","CDI","O","C","ct_9",1280,"tr_1",12545
799,"IZ","04","561b","CDD","O","C","ct_9",502,"tr_1",12187
802,"QB","04","525b","AUT","X","C","ct_8",1567,"tr_4",11652
803,"SZ","04","542a","CDI","O","C","ct_8",1627,"tr_1",17836
805,"RZ","04","435b","CDI","O","P","ct_8",880,"tr_1",6817
806,"FZ","04","671c","CDI","O","P","ct_9",534,"tr_1",11444
813,"HZ","13","634c","CDI","O","C","ct_9",1631,"tr_3",19776
815,"SZ","04","543b","CDI","O","C","ct_8",1820,"tr_2",25317
819,"JB","04","388e","CDI","O","C","ct_9",1820,"tr_4",22829
820,"CE","04","461b","CDI","O","F","ct_9",552,"tr_3",7175
825,"FZ","13","472c","CDI","O","C","ct_9",2066,"tr_4",24932
831,"QA","05","526a","CDI","O","P","ct_8",825,"tr_2",7289
833,"QA","05","526a","AUT","O","P","ct_3",1456,"tr_6",22625
835,"PZ","05","421b","CDI","O","P","ct_8",1365,"tr_3",18798
839,"QB","05","432d","CDI","O","P","ct_8",1013,"tr_3",18864
844,"MA","04","387d","CDI","O","C","ct_9",2028,"tr_1",28300
847,"NZ","13","541b","CDI","O","C","ct_9",1829,"tr_5",18107
849,"GZ","05","462d","CDI","O","C","ct_9",1820,"tr_4",18365
850,"GZ","05","682a","APP","A","C","ct_6",863,"tr_1",2128
853,"IZ","05","561d","CDI","O","P","ct_9",1540,"tr_3",11772
854,"MA","42","371a","CDI","O","C","ct_9",2088,"tr_6",66648
856,"GZ","05","554e","CDI","O","C","ct_9",583,"tr_1",6060
862,"NZ","05","461b","CDI","O","C","ct_8",1820,"tr_2",27816
863,"NZ","05","563c","TOA","O","K","ct_8",234,"tr_4",1389
864,"HZ","06","466c","AUT","O","P","ct_5",2200,"tr_4",36344
865,"CI","06","385a","CDI","O","C","ct_9",2001,"tr_6",62045
866,"GZ","06","344d","CDI","O","C","ct_9",1827,"tr_1",36772
870,"GZ","06","433d","CDI","O","C","ct_9",1820,"tr_1",19457
876,"RZ","06","451g","CDI","O","C","ct_2",1820,"tr_3",21978
877,"GZ","06","374a","CDI","O","P","ct_9",1014,"tr_1",13306
884,"QB","06","526a","CDI","O","C","ct_8",1833,"tr_4",16773
890,"SZ","06","563b","TOA","O","Y","ct_8",638,"tr_3",3677
896,"GZ","06","374a","CDI","O","P","ct_9",1203,"tr_6",25346
899,"EZ","06","644a","CDI","O","C","ct_9",1941,"tr_4",26374
901,"KZ","06","467b","CDI","O","C","ct_9",1788,"tr_5",26950
906,"NZ","06","543f","CDI","O","C","ct_9",1820,"tr_1",21759
907,"SZ","06","372b","CDI","O","C","ct_8",2028,"tr_1",51474
909,"PZ","06","421a","CDI","O","C","ct_8",1517,"tr_2",13466
911,"PZ","06","311d","CDI","O","C","ct_9",1404,"tr_4",29352
913,"HZ","06","546b","AUT","O","C","ct_5",1843,"tr_3",28253
926,"JC","06","465a","CDI","O","C","ct_9",1820,"tr_2",24018
933,"NZ","06","387b","CDI","O","C","ct_9",1820,"tr_4",52242
937,"IZ","06","561f","CDI","O","C","ct_9",2028,"tr_3",17565
938,"HZ","06","461f","CDI","O","C","ct_9",1820,"tr_6",25387
939,"GZ","06","556a","CDI","O","C","ct_9",1906,"tr_5",18502
943,"KZ","06","545b","CDI","O","C","ct_9",1965,"tr_1",17924
944,"QB","06","563b","CDI","O","F","ct_7",317,"tr_1",2469
960,"QA","06","542a","CDI","O","P","ct_6",1174,"tr_1",8716
963,"QA","06","632k","CDI","O","C","ct_8",1924,"tr_5",15940
965,"GZ","06","554e","CDI","O","C","ct_9",1819,"tr_1",28265
967,"HZ","06","333c","CDI","O","C","ct_9",1820,"tr_6",34524
975,"EZ","06","684b","CDI","O","C","ct_9",2143,"tr_3",21831
976,"KZ","92","543h","AUT","X","C","ct_9",404,"tr_5",1929
979,"NZ","13","534a","CDI","O","C","ct_6",2336,"tr_4",19636
980,"GZ","06","554f","CDI","O","C","ct_9",2296,"tr_1",21471
984,"QB","06","525d","CDI","O","P","ct_9",728,"tr_4",7692
985,"GZ","06","551a","CDI","O","C","ct_9",1951,"tr_3",17886
991,"QB","06","434a","CDI","O","C","ct_8",2200,"tr_5",40386
996,"PZ","06","341a","CDI","O","C","ct_8",1852,"tr_3",23731
997,"JB","06","387b","CDI","O","C","ct_9",910,"tr_2",23701
1000,"LZ","06","564a","CDI","O","C","ct_9",1820,"tr_1",14790
1004,"GZ","06","643a","CDI","O","C","ct_9",1785,"tr_2",19982
1005,"TZ","75","563c","CDI","O","C","ct_7",385,"tr_1",5296
1011,"MA","06","676a","CDI","O","C","ct_9",1756,"tr_2",13216
1014,"QB","06","563b","CDI","O","F","ct_7",1109,"tr_1",8784
1015,"FZ","06","461d","CDI","O","C","ct_9",1820,"tr_3",17578
1016,"JC","06","388a","CDI","O","C","ct_9",1201,"tr_5",23627
1019,"NZ","06","684a","CDI","O","P","ct_9",1404,"tr_5",8424
1021,"KZ","06","467a","CDI","O","C","ct_9",1730,"tr_1",25821
1023,"FZ","06","632g","CDI","O","C","ct_9",1609,"tr_2",21275
1024,"IZ","06","561b","CDI","O","C","ct_9",2142,"tr_2",15640
1029,"RZ","06","435b","CDD","X","P","ct_8",182,"tr_3",5955
1030,"EZ","06","644a","CDI","O","C","ct_9",1772,"tr_4",22728
1031,"DZ","06","485a","CDI","O","C","ct_9",1888,"tr_5",26366
1033,"GZ","06","676c","CDI","O","P","ct_6",602,"tr_1",4682
1036,"GZ","06","683a","APP","A","C","ct_6",1834,"tr_2",12224
1047,"MA","06","372e","CDI","O","C","ct_9",1819,"tr_1",27992
1048,"JA","06","388a","CDI","O","P","ct_9",1690,"tr_1",36125
1049,"HZ","06","641a","CDI","O","C","ct_9",2210,"tr_2",24949
1051,"OZ","06","472d","AUT","O","C","ct_2",1820,"tr_6",22544
1052,"GZ","06","551a","CDI","O","C","ct_9",513,"tr_6",15233
1055,"FZ","06","376g","CDI","O","P","ct_9",1554,"tr_3",33223
1056,"IZ","06","561c","CDI","O","C","ct_9",1357,"tr_3",15730
1057,"GZ","06","463e","CDI","O","C","ct_9",1820,"tr_3",48862
1063,"CL","06","384b","CDI","O","C","ct_9",2200,"tr_6",53107
1065,"HZ","06","546b","CDI","O","C","ct_9",1673,"tr_6",20278
1068,"IZ","69","636d","CDI","O","C","ct_9",720,"tr_6",6584
1070,"CA","94","463c","CDI","O","C","ct_9",2231,"tr_6",36100
1072,"RZ","06","451g","CDI","O","C","ct_2",1820,"tr_3",20667
1077,"GZ","06","643a","CDI","O","C","ct_9",1820,"tr_3",19808
1078,"GZ","06","344d","CDI","O","C","ct_9",1898,"tr_2",41688
1085,"QA","06","431f","AUT","O","C","ct_3",2028,"tr_6",23938
1086,"CL","06","474b","CDI","O","C","ct_9",1904,"tr_6",34422
