UID,Sports
842,FEDE|111
843,FEDE|402
844,FEDE|406
845,FEDE|242
851,FEDE|402
852,FEDE|101
853,FEDE|109
856,FEDE|121
859,FEDE|110
861,FEDE|401
868,FEDE|109
870,FEDE|110
872,FEDE|105
877,FEDE|245
883,FEDE|123
894,FEDE|604
907,FEDE|242
908,FEDE|105
924,FEDE|109
925,FEDE|111
927,FEDE|242
930,FEDE|111
938,FEDE|221
939,FEDE|111
940,FEDE|119
948,FEDE|249
950,FEDE|113
966,FEDE|242
967,FEDE|111
969,FEDE|115
979,FEDE|206
998,FEDE|125
999,FEDE|420
1001,FEDE|242
1011,FEDE|601
1042,FEDE|123
1043,FEDE|111
1054,FEDE|402
1061,FEDE|212
1064,FEDE|123
1068,FEDE|242
1069,FEDE|261
1074,FEDE|108
1077,FEDE|242
1084,FEDE|102
1086,FEDE|410
1088,FEDE|132
1093,FEDE|119
1094,FEDE|128
1095,FEDE|232
1109,FEDE|125
1119,FEDE|105
1122,FEDE|233
1130,FEDE|111
1145,FEDE|123
1161,FEDE|202
1164,FEDE|418
1167,FEDE|114
1171,FEDE|128
1178,FEDE|123
1181,FEDE|267
1183,FEDE|420
1193,FEDE|132
1194,FEDE|111
1204,FEDE|111
1205,FEDE|242
1211,FEDE|119
1213,FEDE|121
1215,FEDE|242
1231,FEDE|405
1240,FEDE|111
1241,FEDE|116
1245,FEDE|111
1248,FEDE|111
1252,FEDE|221
1253,FEDE|604
1259,FEDE|249
1266,FEDE|132
1272,FEDE|125
1282,FEDE|106
1283,FEDE|242
1289,FEDE|406
1316,FEDE|109
1322,FEDE|123
1344,FEDE|132
1351,FEDE|132
1352,FEDE|128
1376,FEDE|109
1387,FEDE|401
1404,FEDE|132
1409,FEDE|128
1415,FEDE|404
1422,FEDE|242
1424,FEDE|121
1425,FEDE|123
1438,FEDE|128
1450,FEDE|123
1451,FEDE|125
1478,FEDE|111
1504,FEDE|221
1516,FEDE|119
1522,FEDE|119
1527,FEDE|123
1536,FEDE|245
1544,FEDE|604
1553,FEDE|101
1564,FEDE|401
1567,FEDE|604
1569,FEDE|410
1570,FEDE|402
1572,FEDE|206
1576,FEDE|242
1588,FEDE|232
1596,FEDE|111
1610,FEDE|219
1615,FEDE|111
1620,FEDE|111
1624,FEDE|132
1634,FEDE|119
1645,FEDE|410
1650,FEDE|111
1652,FEDE|205
1654,FEDE|132
1656,FEDE|132
1661,FEDE|132
1668,FEDE|403
1678,FEDE|119
1689,FEDE|111
1713,FEDE|103
1716,FEDE|119
1719,FEDE|109
1720,FEDE|407
1731,FEDE|128
1740,FEDE|126
1744,FEDE|221
1745,FEDE|129
1756,FEDE|204
1758,FEDE|206
1760,FEDE|123
1762,FEDE|410
1766,FEDE|132
1769,FEDE|221
1773,FEDE|105
1779,FEDE|105
1795,FEDE|242
1796,FEDE|132
1802,FEDE|123
1805,FEDE|123
1813,FEDE|125
1815,FEDE|221
1822,FEDE|132
1845,FEDE|604
1849,FEDE|111
1863,FEDE|132
1890,FEDE|420
1898,FEDE|103
1903,FEDE|410
1915,FEDE|410
1916,FEDE|242
1925,FEDE|415
1927,FEDE|410
1928,FEDE|111
1931,FEDE|123
1951,FEDE|111
1964,FEDE|132
1965,FEDE|242
1977,FEDE|420
1992,FEDE|111
1996,FEDE|119
2000,FEDE|111
2001,FEDE|111
2009,FEDE|109
2010,FEDE|111
2013,FEDE|109
2025,FEDE|410
2026,FEDE|401
2046,FEDE|132
2065,FEDE|121
2067,FEDE|402
2072,FEDE|123
2075,FEDE|242
2080,FEDE|128
2083,FEDE|123
2090,FEDE|123
2097,FEDE|102
2103,FEDE|420
2119,FEDE|123
2140,FEDE|604
2141,FEDE|123
2145,FEDE|221
2169,FEDE|123
2179,FEDE|113
2183,FEDE|410
2208,FEDE|604
2209,FEDE|117
2213,FEDE|408
2214,FEDE|119
2216,FEDE|109
2218,FEDE|242
2222,FEDE|229
2234,FEDE|123
2253,FEDE|261
2278,FEDE|242
2284,FEDE|404
2285,FEDE|401
2287,FEDE|601
2300,FEDE|129
2337,FEDE|402
2341,FEDE|410
2352,FEDE|415
2353,FEDE|604
2360,FEDE|420
2362,FEDE|132
2377,FEDE|229
2379,FEDE|401
2383,FEDE|125
2388,FEDE|211
2390,FEDE|105
2394,FEDE|410
2405,FEDE|109
2413,FEDE|410
2414,FEDE|111
2452,FEDE|245
2460,FEDE|111
2463,FEDE|103
2467,FEDE|111
2468,FEDE|219
2474,FEDE|115
2482,FEDE|129
2487,FEDE|604
2490,FEDE|123
2495,FEDE|111
2500,FEDE|123
2522,FEDE|108
2523,FEDE|125
2534,FEDE|254
2542,FEDE|242
2543,FEDE|111
2553,FEDE|119
2563,FEDE|109
2570,FEDE|410
2592,FEDE|232
2599,FEDE|403
2606,FEDE|111
2607,FEDE|410
2608,FEDE|242
2611,FEDE|111
2615,FEDE|125
2617,FEDE|125
2636,FEDE|242
2637,FEDE|205
2639,FEDE|101
2640,FEDE|420
2648,FEDE|242
2662,FEDE|410
2664,FEDE|103
2665,FEDE|103
2667,FEDE|242
2674,FEDE|105
2685,FEDE|132
2687,FEDE|109
2696,FEDE|101
2697,FEDE|114
2715,FEDE|111
2720,FEDE|132
2729,FEDE|604
2734,FEDE|132
2743,FEDE|125
2747,FEDE|123
2749,FEDE|245
2753,FEDE|105
2766,FEDE|108
2767,FEDE|132
2776,FEDE|410
2777,FEDE|219
2784,FEDE|113
2786,FEDE|219
2789,FEDE|105
2790,FEDE|123
2792,FEDE|232
2793,FEDE|117
2796,FEDE|111
2799,FEDE|101
2829,FEDE|132
2835,FEDE|128
2837,FEDE|114
2849,FEDE|206
2851,FEDE|108
2854,FEDE|111
2855,FEDE|123
2865,FEDE|401
2867,FEDE|115
2876,FEDE|604
2880,FEDE|401
2889,FEDE|242
2898,FEDE|133
2901,FEDE|201
2902,FEDE|211
2920,FEDE|109
2928,FEDE|121
2930,FEDE|402
2935,FEDE|407
2940,FEDE|211
2942,FEDE|218
2944,FEDE|402
2953,FEDE|109
2955,FEDE|115
2960,FEDE|101
2971,FEDE|111
2974,FEDE|101
2981,FEDE|401
2982,FEDE|401
2989,FEDE|109
3001,FEDE|403
3006,FEDE|403
3008,FEDE|115
3015,FEDE|123
3021,FEDE|413
3029,FEDE|242
3032,FEDE|402
3035,FEDE|111
3048,FEDE|119
3053,FEDE|111
3061,FEDE|103
3064,FEDE|111
3079,FEDE|124
3091,FEDE|101
3095,FEDE|132
3102,FEDE|413
3103,FEDE|242
3121,FEDE|111
3123,FEDE|123
3129,FEDE|261
3132,FEDE|233
3140,FEDE|242
3152,FEDE|111
3164,FEDE|113
3167,FEDE|123
3170,FEDE|110
3173,FEDE|111
3180,FEDE|125
3185,FEDE|242
3190,FEDE|111
3205,FEDE|103
3206,FEDE|107
3207,FEDE|211
3210,FEDE|123
3213,FEDE|109
3226,FEDE|413
3230,FEDE|133
3231,FEDE|117
3234,FEDE|107
3239,FEDE|402
3248,FEDE|402
3249,FEDE|133
3250,FEDE|202
3252,FEDE|105
3254,FEDE|125
3259,FEDE|242
3274,FEDE|125
3283,FEDE|125
3293,FEDE|109
3299,FEDE|402
3314,FEDE|249
3315,FEDE|111
3329,FEDE|242
3331,FEDE|218
3339,FEDE|125
3347,FEDE|402
3375,FEDE|113
3379,FEDE|261
3384,FEDE|604
3391,FEDE|125
3394,FEDE|105
3415,FEDE|405
3424,FEDE|218
3443,FEDE|413
3451,FEDE|604
3455,FEDE|219
3458,FEDE|604
3462,FEDE|249
3466,FEDE|266
3467,FEDE|101
3468,FEDE|206
3476,FEDE|413
3477,FEDE|204
3490,FEDE|108
3500,FEDE|605
3505,FEDE|420
3532,FEDE|133
3539,FEDE|128
3542,FEDE|406
3555,FEDE|111
3556,FEDE|123
3558,FEDE|103
3564,FEDE|604
3569,FEDE|604
3570,FEDE|266
3571,FEDE|266
3579,FEDE|123
3581,FEDE|123
3582,FEDE|122
3583,FEDE|237
3595,FEDE|109
3610,FEDE|242
3617,FEDE|242
3619,FEDE|245
3622,FEDE|209
3626,FEDE|111
3628,FEDE|111
3637,FEDE|125
3659,FEDE|242
3668,FEDE|229
3681,FEDE|121
3691,FEDE|123
3697,FEDE|402
3714,FEDE|420
3722,FEDE|126
3724,FEDE|109
3728,FEDE|406
3733,FEDE|125
3738,FEDE|124
3740,FEDE|133
3742,FEDE|245
3743,FEDE|218
3746,FEDE|115
3748,FEDE|242
3750,FEDE|132
3753,FEDE|109
3760,FEDE|406
3761,FEDE|242
3766,FEDE|404
3773,FEDE|117
3775,FEDE|125
3782,FEDE|404
3790,FEDE|105
3794,FEDE|111
3800,FEDE|111
3805,FEDE|213
3811,FEDE|242
3816,FEDE|101
3818,FEDE|111
3831,FEDE|237
3833,FEDE|245
3840,FEDE|133
3853,FEDE|402
3856,FEDE|242
3864,FEDE|413
3868,FEDE|245
3872,FEDE|242
3877,FEDE|604
3886,FEDE|242
3894,FEDE|125
3898,FEDE|111
3900,FEDE|119
3901,FEDE|403
3905,FEDE|213
3906,FEDE|213
3907,FEDE|213
3922,FEDE|217
3923,FEDE|111
3928,FEDE|243
3929,FEDE|111
3943,FEDE|221
3946,FEDE|405
3950,FEDE|404
3953,FEDE|403
3959,FEDE|128
3962,FEDE|133
3980,FEDE|123
3983,FEDE|242
4004,FEDE|406
4008,FEDE|121
4009,FEDE|123
4016,FEDE|232
4018,FEDE|129
4022,FEDE|250
4052,FEDE|265
4064,FEDE|206
4065,FEDE|601
4066,FEDE|101
4067,FEDE|123
4070,FEDE|229
4081,FEDE|133
4083,FEDE|601
4085,FEDE|402
4090,FEDE|603
4095,FEDE|604
4101,FEDE|402
4104,FEDE|125
4106,FEDE|132
4110,FEDE|406
4117,FEDE|258
4123,FEDE|219
4124,FEDE|601
4129,FEDE|132
4133,FEDE|127
4134,FEDE|406
4161,FEDE|123
4165,FEDE|410
4168,FEDE|401
4173,FEDE|401
4174,FEDE|402
4178,FEDE|402
4189,FEDE|603
4191,FEDE|402
4195,FEDE|132
4196,FEDE|132
4209,FEDE|604
4210,FEDE|132
4217,FEDE|119
4220,FEDE|132
4221,FEDE|252
4227,FEDE|604
4230,FEDE|111
4234,FEDE|123
4235,FEDE|604
4246,FEDE|229
4250,FEDE|242
4252,FEDE|109
4254,FEDE|420
4256,FEDE|404
4262,FEDE|601
4269,FEDE|109
4273,FEDE|404
4276,FEDE|404
4297,FEDE|401
4313,FEDE|123
4323,FEDE|407
4339,FEDE|242
4342,FEDE|405
4343,FEDE|245
4345,FEDE|604
4352,FEDE|111
4353,FEDE|119
4354,FEDE|111
4355,FEDE|133
4367,FEDE|601
4369,FEDE|402
4379,FEDE|221
4383,FEDE|245
4385,FEDE|111
4386,FEDE|501
4398,FEDE|125
4413,FEDE|128
4414,FEDE|111
4415,FEDE|123
4417,FEDE|406
4428,FEDE|604
4433,FEDE|420
4471,FEDE|402
4484,FEDE|115
4485,FEDE|132
4492,FEDE|204
4494,FEDE|242
4495,FEDE|403
4496,FEDE|261
4497,FEDE|404
4498,FEDE|101
4506,FEDE|123
4518,FEDE|242
4528,FEDE|601
4533,FEDE|410
4536,FEDE|132
4551,FEDE|410
4552,FEDE|206
4553,FEDE|218
4568,FEDE|221
4575,FEDE|123
4578,FEDE|101
4581,FEDE|405
4583,FEDE|202
4589,FEDE|123
4597,FEDE|128
4611,FEDE|252
4617,FEDE|407
4625,FEDE|265
4626,FEDE|119
4628,FEDE|242
4640,FEDE|417
4641,FEDE|105
4642,FEDE|417
4644,FEDE|115
4649,FEDE|123
4654,FEDE|218
4662,FEDE|229
4666,FEDE|232
4678,FEDE|218
4683,FEDE|402
4684,FEDE|401
4692,FEDE|219
4694,FEDE|221
4697,FEDE|132
4708,FEDE|252
4709,FEDE|111
4724,FEDE|604
4725,FEDE|123
4727,FEDE|417
4728,FEDE|413
4729,FEDE|221
4743,FEDE|109
4748,FEDE|133
4753,FEDE|404
4755,FEDE|407
4765,FEDE|125
4766,FEDE|413
4768,FEDE|402
4769,FEDE|109
4785,FEDE|245
4791,FEDE|407
4793,FEDE|407
4798,FEDE|111
4799,FEDE|125
4800,FEDE|402
4812,FEDE|406
4820,FEDE|261
4833,FEDE|245
4834,FEDE|123
4835,FEDE|229
4836,FEDE|201
4840,FEDE|245
4845,FEDE|105
4850,FEDE|410
4854,FEDE|111
4858,FEDE|258
4865,FEDE|410
4870,FEDE|115
4882,FEDE|413
4904,FEDE|123
4906,FEDE|123
4911,FEDE|133
4920,FEDE|110
4923,FEDE|127
4924,FEDE|406
4928,FEDE|128
4932,FEDE|123
4933,FEDE|105
4934,FEDE|410
4947,FEDE|109
4950,FEDE|206
4956,FEDE|111
4960,FEDE|403
4964,FEDE|242
4981,FEDE|402
4987,FEDE|119
4993,FEDE|413
5002,FEDE|113
5004,FEDE|242
5008,FEDE|604
5013,FEDE|109
5019,FEDE|605
5023,FEDE|111
5031,FEDE|107
5032,FEDE|133
5034,FEDE|103
5039,FEDE|128
5045,FEDE|222
5046,FEDE|127
5049,FEDE|123
5062,FEDE|407
5065,FEDE|113
5073,FEDE|410
5085,FEDE|115
5093,FEDE|242
5094,FEDE|266
5103,FEDE|123
5105,FEDE|604
5106,FEDE|604
5107,FEDE|127
5113,FEDE|258
5119,FEDE|125
5125,FEDE|410
5130,FEDE|123
5138,FEDE|119
5141,FEDE|125
5142,FEDE|125
5148,FEDE|604
5149,FEDE|102
5151,FEDE|114
5161,FEDE|123
5168,FEDE|410
5179,FEDE|128
5184,FEDE|410
5186,FEDE|123
5187,FEDE|402
5195,FEDE|123
5198,FEDE|111
5203,FEDE|501
5209,FEDE|125
5213,FEDE|119
5215,FEDE|109
5221,FEDE|402
5226,FEDE|222
5230,FEDE|604
5234,FEDE|265
5235,FEDE|402
5238,FEDE|119
5239,FEDE|221
5240,FEDE|410
5251,FEDE|410
5257,FEDE|402
5260,FEDE|132
5263,FEDE|401
5268,FEDE|111
5293,FEDE|123
5295,FEDE|402
5298,FEDE|105
5299,FEDE|257
5300,FEDE|249
5301,FEDE|111
5303,FEDE|128
5304,FEDE|242
5310,FEDE|242
5313,FEDE|604
5316,FEDE|218
5318,FEDE|109
5320,FEDE|232
5321,FEDE|109
5330,FEDE|219
5332,FEDE|111
5337,FEDE|114
5341,FEDE|123
5344,FEDE|215
5351,FEDE|123
5352,FEDE|123
5353,FEDE|402
5361,FEDE|109
5365,FEDE|258
5368,FEDE|242
5384,FEDE|245
5387,FEDE|115
5397,FEDE|133
5399,FEDE|109
5402,FEDE|245
5409,FEDE|410
5411,FEDE|106
5420,FEDE|125
5424,FEDE|125
5436,FEDE|105
5439,FEDE|133
5440,FEDE|103
5450,FEDE|206
5452,FEDE|267
5453,FEDE|122
5466,FEDE|410
5487,FEDE|410
5520,FEDE|111
5522,FEDE|221
5530,FEDE|402
5532,FEDE|105
5533,FEDE|121
5541,FEDE|403
5542,FEDE|403
5547,FEDE|123
5550,FEDE|108
5553,FEDE|402
5556,FEDE|202
5564,FEDE|109
5566,FEDE|109
5585,FEDE|123
5590,FEDE|109
5601,FEDE|407
5610,FEDE|221
5613,FEDE|101
5618,FEDE|242
5621,FEDE|242
5636,FEDE|105
5641,FEDE|111
5650,FEDE|206
5659,FEDE|410
5665,FEDE|206
5671,FEDE|111
5672,FEDE|229
5677,FEDE|402
5678,FEDE|123
5680,FEDE|101
5682,FEDE|128
5686,FEDE|109
5687,FEDE|221
5692,FEDE|125
5694,FEDE|402
5697,FEDE|110
5698,FEDE|402
5706,FEDE|105
5711,FEDE|111
5733,FEDE|121
5744,FEDE|123
5746,FEDE|410
5747,FEDE|242
5750,FEDE|245
5752,FEDE|109
5753,FEDE|245
5754,FEDE|133
5766,FEDE|402
5767,FEDE|261
5769,FEDE|119
5773,FEDE|125
5778,FEDE|249
5781,FEDE|127
5792,FEDE|601
5793,FEDE|125
5802,FEDE|202
5803,FEDE|111
5808,FEDE|201
5810,FEDE|245
5813,FEDE|402
5824,FEDE|109
5828,FEDE|111
5869,FEDE|246
5872,FEDE|123
5873,FEDE|245
5874,FEDE|221
5878,FEDE|413
5886,FEDE|257
5888,FEDE|242
5894,FEDE|210
5900,FEDE|242
5903,FEDE|132
5915,FEDE|108
5918,FEDE|125
5926,FEDE|402
5927,FEDE|402
5928,FEDE|111
5929,FEDE|215
5934,FEDE|123
5960,FEDE|127
5965,FEDE|408
5968,FEDE|204
5973,FEDE|206
5977,FEDE|221
5980,FEDE|123
5998,FEDE|408
6001,FEDE|229
6006,FEDE|101
6010,FEDE|205
6011,FEDE|125
6015,FEDE|128
6016,FEDE|229
6018,FEDE|407
6019,FEDE|407
6030,FEDE|128
6032,FEDE|133
6041,FEDE|252
6046,FEDE|111
6054,FEDE|604
6057,FEDE|604
6059,FEDE|229
6062,FEDE|605
6067,FEDE|119
6068,FEDE|111
6073,FEDE|604
6088,FEDE|111
6092,FEDE|245
6099,FEDE|604
6103,FEDE|109
6107,FEDE|410
6110,FEDE|111
6134,FEDE|242
6144,FEDE|420
6149,FEDE|420
6158,FEDE|125
6171,FEDE|601
6174,FEDE|123
6177,FEDE|603
6188,FEDE|250
6194,FEDE|105
6198,FEDE|111
6199,FEDE|101
6204,FEDE|420
6209,FEDE|410
6217,FEDE|221
6226,FEDE|245
6244,FEDE|125
6247,FEDE|402
6251,FEDE|111
6257,FEDE|132
6270,FEDE|102
6286,FEDE|232
6290,FEDE|132
6291,FEDE|221
6292,FEDE|125
6295,FEDE|408
6306,FEDE|105
6309,FEDE|127
6312,FEDE|406
6329,FEDE|119
6349,FEDE|420
6357,FEDE|124
6359,FEDE|601
6361,FEDE|407
6363,FEDE|228
6376,FEDE|123
6390,FEDE|604
6393,FEDE|123
6395,FEDE|106
6398,FEDE|605
6411,FEDE|133
6423,FEDE|601
6426,FEDE|229
6428,FEDE|420
6446,FEDE|111
6474,FEDE|242
6482,FEDE|128
6487,FEDE|113
6492,FEDE|132
6502,FEDE|125
6517,FEDE|413
6519,FEDE|133
6527,FEDE|406
6534,FEDE|245
6544,FEDE|128
6555,FEDE|406
6560,FEDE|111
6562,FEDE|132
6570,FEDE|129
6577,FEDE|242
6584,FEDE|111
6589,FEDE|601
6601,FEDE|206
6606,FEDE|103
6609,FEDE|206
6619,FEDE|604
6625,FEDE|206
6626,FEDE|123
6630,FEDE|111
6641,FEDE|420
6643,FEDE|111
6644,FEDE|420
6650,FEDE|242
6652,FEDE|413
6654,FEDE|123
6667,FEDE|132
6668,FEDE|111
6679,FEDE|111
6682,FEDE|123
6683,FEDE|232
6692,FEDE|209
6696,FEDE|113
6700,FEDE|601
6720,FEDE|113
6723,FEDE|604
6724,FEDE|258
6725,FEDE|101
6732,FEDE|128
6737,FEDE|245
6755,FEDE|115
6760,FEDE|403
6774,FEDE|111
6780,FEDE|101
6789,FEDE|401
6791,FEDE|111
6806,FEDE|125
6816,FEDE|111
6817,FEDE|229
6839,FEDE|129
6840,FEDE|420
6847,FEDE|245
6851,FEDE|125
6852,FEDE|123
6855,FEDE|132
6860,FEDE|408
6871,FEDE|252
6895,FEDE|111
6900,FEDE|242
6912,FEDE|105
6941,FEDE|601
6948,FEDE|242
6950,FEDE|413
6952,FEDE|603
6971,FEDE|119
6980,FEDE|123
6990,FEDE|115
6997,FEDE|132
6999,FEDE|212
7004,FEDE|217
7025,FEDE|109
7031,FEDE|111
7038,FEDE|404
7046,FEDE|403
7051,FEDE|401
7064,FEDE|222
7066,FEDE|122
7072,FEDE|234
7074,FEDE|245
7083,FEDE|229
7096,FEDE|123
7127,FEDE|111
7135,FEDE|604
7141,FEDE|242
7158,FEDE|123
7163,FEDE|245
7183,FEDE|420
7189,FEDE|221
7202,FEDE|101
7207,FEDE|408
7208,FEDE|112
7210,FEDE|221
7213,FEDE|604
7252,FEDE|111
7257,FEDE|132
7258,FEDE|404
7259,FEDE|604
7270,FEDE|109
7289,FEDE|249
7291,FEDE|123
7297,FEDE|420
7300,FEDE|229
7305,FEDE|603
7311,FEDE|111
7320,FEDE|232
7331,FEDE|105
7332,FEDE|204
7337,FEDE|132
7341,FEDE|228
7345,FEDE|125
7370,FEDE|404
7377,FEDE|420
7388,FEDE|229
7412,FEDE|123
7417,FEDE|212
7423,FEDE|101
7433,FEDE|128
7439,FEDE|212
7440,FEDE|242
7459,FEDE|221
7461,FEDE|601
7466,FEDE|132
7467,FEDE|219
7469,FEDE|111
7473,FEDE|128
7479,FEDE|410
7482,FEDE|245
7488,FEDE|128
7497,FEDE|111
7500,FEDE|109
7503,FEDE|222
7508,FEDE|123
7512,FEDE|128
7527,FEDE|401
7535,FEDE|406
7543,FEDE|102
7544,FEDE|128
7550,FEDE|410
7551,FEDE|102
7572,FEDE|102
7581,FEDE|402
7599,FEDE|119
7600,FEDE|123
7602,FEDE|129
7603,FEDE|604
7610,FEDE|106
7616,FEDE|243
7630,FEDE|402
7633,FEDE|249
7638,FEDE|103
7644,FEDE|242
7645,FEDE|108
7646,FEDE|119
7651,FEDE|111
7654,FEDE|105
7656,FEDE|111
7658,FEDE|106
7659,FEDE|103
7662,FEDE|402
7665,FEDE|221
7666,FEDE|124
7668,FEDE|604
7679,FEDE|402
7691,FEDE|111
7695,FEDE|132
7726,FEDE|123
7735,FEDE|109
7769,FEDE|111
7774,FEDE|111
7777,FEDE|111
7779,FEDE|123
7792,FEDE|420
7793,FEDE|218
7799,FEDE|109
7811,FEDE|402
7818,FEDE|125
7830,FEDE|123
7834,FEDE|115
7836,FEDE|115
7848,FEDE|258
7854,FEDE|222
7857,FEDE|417
7859,FEDE|246
7860,FEDE|246
7865,FEDE|123
7871,FEDE|109
7876,FEDE|109
7881,FEDE|245
7884,FEDE|113
7890,FEDE|242
7891,FEDE|111
7903,FEDE|111
7908,FEDE|127
7909,FEDE|242
7911,FEDE|101
7921,FEDE|132
7932,FEDE|413
7936,FEDE|245
7941,FEDE|402
7947,FEDE|233
7948,FEDE|218
7959,FEDE|123
7964,FEDE|128
7969,FEDE|245
7976,FEDE|115
7985,FEDE|243
7988,FEDE|129
7993,FEDE|218
8000,FEDE|410
8016,FEDE|123
8017,FEDE|132
8022,FEDE|109
8023,FEDE|111
8028,FEDE|105
8034,FEDE|123
8036,FEDE|109
8058,FEDE|123
8066,FEDE|125
8078,FEDE|111
8079,FEDE|111
8083,FEDE|103
8092,FEDE|123
8100,FEDE|111
8109,FEDE|132
8110,FEDE|111
8120,FEDE|111
8121,FEDE|107
8125,FEDE|101
8132,FEDE|132
8136,FEDE|123
8149,FEDE|111
8150,FEDE|119
8177,FEDE|604
8178,FEDE|132
8181,FEDE|123
8188,FEDE|218
8190,FEDE|109
8192,FEDE|117
8213,FEDE|109
8227,FEDE|420
8233,FEDE|111
8240,FEDE|242
8246,FEDE|402
8248,FEDE|217
8266,FEDE|604
8270,FEDE|111
8272,FEDE|133
8276,FEDE|111
8282,FEDE|111
8289,FEDE|111
8297,FEDE|111
8299,FEDE|404
8301,FEDE|133
8304,FEDE|111
8322,FEDE|406
8324,FEDE|123
8325,FEDE|229
8329,FEDE|111
8330,FEDE|123
8332,FEDE|266
8334,FEDE|111
8338,FEDE|212
8350,FEDE|111
8354,FEDE|604
8355,FEDE|402
8356,FEDE|122
8358,FEDE|250
8363,FEDE|127
8368,FEDE|114
8370,FEDE|102
8373,FEDE|101
8376,FEDE|109
8383,FEDE|117
8387,FEDE|111
8392,FEDE|403
8395,FEDE|245
8397,FEDE|101
8398,FEDE|402
8421,FEDE|604
8434,FEDE|108
8439,FEDE|413
8444,FEDE|111
8445,FEDE|111
8448,FEDE|111
8450,FEDE|402
8462,FEDE|127
8469,FEDE|111
8470,FEDE|406
8472,FEDE|132
8490,FEDE|405
8502,FEDE|402
8517,FEDE|133
8518,FEDE|109
8524,FEDE|132
8530,FEDE|109
8533,FEDE|249
8535,FEDE|132
8537,FEDE|123
8540,FEDE|233
8543,FEDE|114
8554,FEDE|212
8557,FEDE|105
8583,FEDE|109
8588,FEDE|111
8595,FEDE|245
8602,FEDE|125
8603,FEDE|242
8608,FEDE|111
8613,FEDE|402
8632,FEDE|109
8639,FEDE|123
8641,FEDE|242
8643,FEDE|117
8650,FEDE|413
8657,FEDE|212
8660,FEDE|111
8664,FEDE|403
8678,FEDE|229
8680,FEDE|233
8685,FEDE|111
8699,FEDE|413
8708,FEDE|127
8716,FEDE|604
8718,FEDE|413
8719,FEDE|111
8721,FEDE|413
8737,FEDE|245
8738,FEDE|406
8741,FEDE|117
8745,FEDE|117
8746,FEDE|115
8758,FEDE|202
8759,FEDE|111
8765,FEDE|402
8766,FEDE|101
8767,FEDE|413
8774,FEDE|245
8778,FEDE|123
8790,FEDE|408
8801,FEDE|112
8809,FEDE|101
8819,FEDE|111
8832,FEDE|604
8836,FEDE|133
8837,FEDE|109
8840,FEDE|101
8858,FEDE|245
8864,FEDE|402
8875,FEDE|111
8880,FEDE|132
8883,FEDE|117
8891,FEDE|233
8892,FEDE|129
8912,FEDE|111
8917,FEDE|243
8919,FEDE|111
8929,FEDE|109
8930,FEDE|109
8940,FEDE|111
8942,FEDE|115
8945,FEDE|233
8952,FEDE|246
8955,FEDE|128
8961,FEDE|123
8973,FEDE|249
8993,FEDE|604
8999,FEDE|123
9001,FEDE|101
9019,FEDE|127
9025,FEDE|218
9030,FEDE|408
9051,FEDE|124
